# _tick,_time,frames,mean_episode_return_landlord,loss_landlord,mean_episode_return_landlord_up,loss_landlord_up,mean_episode_return_landlord_down,loss_landlord_down
61,1773201470.6727905,195200,-1.2339495420455933,0.3501488268375397,1.2335938215255737,0.29460954666137695,1.234279990196228,1.6974385976791382
62,1773201474.079122,198400,-1.2339495420455933,0.3501488268375397,1.235246181488037,0.3554195463657379,1.234279990196228,1.6974385976791382
63,1773201483.8527796,201600,-1.2354514598846436,0.3987371623516083,1.235246181488037,0.3554195463657379,1.234279990196228,1.6974385976791382
64,1773201484.219242,204800,-1.2354514598846436,0.3987371623516083,1.235246181488037,0.3554195463657379,1.2353826761245728,2.000873327255249
65,1773201488.071328,208000,-1.2354514598846436,0.3987371623516083,1.238976240158081,0.578450083732605,1.2353826761245728,2.000873327255249
66,1773201498.3440037,211200,-1.2390393018722534,0.6353639364242554,1.238976240158081,0.578450083732605,1.2353826761245728,2.000873327255249
67,1773201498.7378335,214400,-1.2390393018722534,0.6353639364242554,1.238976240158081,0.578450083732605,1.2394400835037231,2.2332022190093994
68,1773201502.4012694,217600,-1.2390393018722534,0.6353639364242554,1.2400168180465698,0.3396202325820923,1.2394400835037231,2.2332022190093994
69,1773201511.9087327,220800,-1.2404975891113281,0.27104994654655457,1.2400168180465698,0.3396202325820923,1.2394400835037231,2.2332022190093994
70,1773201512.477869,224000,-1.2404975891113281,0.27104994654655457,1.2400168180465698,0.3396202325820923,1.241081953048706,1.797903060913086
71,1773201517.2685423,227200,-1.2404975891113281,0.27104994654655457,1.2430007457733154,0.33249011635780334,1.241081953048706,1.797903060913086
72,1773201526.9348934,230400,-1.2438300848007202,0.2948525846004486,1.2430007457733154,0.33249011635780334,1.241081953048706,1.797903060913086
73,1773201527.6368482,233600,-1.2438300848007202,0.2948525846004486,1.2430007457733154,0.33249011635780334,1.244070053100586,2.0332133769989014
74,1773201532.7671185,236800,-1.2438300848007202,0.2948525846004486,1.24661386013031,0.29614150524139404,1.244070053100586,2.0332133769989014
75,1773201541.1242788,240000,-1.246895432472229,0.5270048975944519,1.24661386013031,0.29614150524139404,1.244070053100586,2.0332133769989014
